SampleID,Site,Date,Type_of_Sample,Filter_Y/N,Volume_Filtered_ml,Repetition,Tin_Capsulse_g,Tin_and_Filter_g,Filter_g,Filter_mg,Zooplankton_SIA_ID_Number,Bulk/Species,Sample_Composition,Fish_Photo_ID,Pit_Tag,Fish_Number,End_Fork_Length_mm,End_Weight_g,Cage_No,Type_of_Veg,Amount_(mg) ,Tray_Name,Well_ID,Analysis,Enriched? ,?13CVPDB (‰),Total C (µg),C Comment,?15NAir (‰),Total N (µg),N Comment,Internal ID,Analysis Number,Mass Spec
Cos_Tri_2394,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2394,,,68,3.25,2,,1.9,2019-08-02_DrkCn,A5,"13C, 15N",No,-24.16749217,533.6526761,,10.37087815,166.1202169,,1734891,415414,D
Cos_Tri_2395,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2395,,,66,2.84,2,,1.5,2019-08-02_DrkCn,A6,"13C, 15N",No,-23.71934257,661.4726028,,11.00213822,206.4715981,,1734892,415415,D
Cos_Tri_2396,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2396,,,64,2.67,2,,1.5,2019-08-02_DrkCn,A7,"13C, 15N",No,-24.30270494,655.815647,,11.12248287,203.067092,,1734893,415416,D
Cos_Tri_2397,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2397,,,66,2.93,2,,1.8,2019-08-02_DrkCn,A8,"13C, 15N",No,-24.29304793,841.2142394,,11.35103626,260.824796,,1734894,415417,D
BabyMarsh_2448,BabyMarsh,2019-04-04,Fish muscle tissue,N,,,,,,,,,,2448,,,81,6.61,2,,1.3,2019-08-02_DrkCn,A9,"13C, 15N",No,-27.89873662,748.8536775,,10.36239312,221.8860906,,1734895,415418,D
BabyMarsh_2449,BabyMarsh,2019-04-04,Fish muscle tissue,N,,,,,,,,,,2449,,,77,5.8,2,,1.5,2019-08-02_DrkCn,A10,"13C, 15N",No,-27.58668718,800.4309716,,10.50633675,228.3166742,,1734896,415419,D
BabyMarsh_2450,BabyMarsh,2019-04-04,Fish muscle tissue,N,,,,,,,,,,2450,,,83,7.16,2,,1.8,2019-08-02_DrkCn,A11,"13C, 15N",No,-27.29614158,801.6218354,,10.28315512,240.1309517,,1734897,415420,D
BabyMarsh_102-0938,BabyMarsh,,Fish muscle tissue,N,,,,,,,,,,102-0938,,,75,5.28,1,,1.5,2019-08-02_DrkCn,A12,"13C, 15N",No,-26.7163342,772.9914001,,9.677665546,237.6702048,,1734898,415421,D
BabyMarsh_102-0939,BabyMarsh,,Fish muscle tissue,N,,,,,,,,,,102-0939,,,74,4.81,1,,1.9,2019-08-02_DrkCn,B1,"13C, 15N",No,-27.10925945,906.1042287,,9.925469399,270.6901578,,1734899,415428,D
BabyMarsh_102-0940,BabyMarsh,,Fish muscle tissue,N,,,,,,,,,,102-0940,,,75,4.9,1,,1.7,2019-08-02_DrkCn,B2,"13C, 15N",No,-26.69298372,801.8202951,,9.995157508,245.2153463,,1734900,415429,D
XSSAC_4047,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,549,982000196964047,,53,1.49,1,,1.4,2019-08-02_DrkCn,B3,"13C, 15N",No,-23.95645512,621.1826931,,10.60863998,195.2923405,,1734901,415430,D
XSSAC_4456,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,555,982126056334456,,59,2.35,2,,1.3,2019-08-02_DrkCn,B4,"13C, 15N",No,-24.8610606,536.3186279,,10.1718345,161.4012982,,1734902,415431,D
XSSAC_4442,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,552,982126056334442,,58,2.31,2,,1.2,2019-08-02_DrkCn,B5,"13C, 15N",No,-24.45106499,864.6767679,,11.05784402,268.1179319,,1734903,415432,D
XSSAC_4334,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,546,982126056334334,,56,1.99,1,,1.7,2019-08-02_DrkCn,B6,"13C, 15N",No,-23.39199933,874.5138372,,10.44051853,272.3927507,,1734904,415433,D
XSSAC_4285,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,547,982126056334285,,54,1.77,1,,1.3,2019-08-02_DrkCn,B7,"13C, 15N",No,-23.49316529,559.6607605,,10.7668766,173.1353214,,1734905,415434,D
XSSAC_4498,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,548,982126056334498,,59,2.31,1,,1.2,2019-08-02_DrkCn,B8,"13C, 15N",No,-23.47957389,508.7982612,,10.43634814,157.4353267,,1734906,415435,D
XSSAC_3979,XSSAC,2019-04-01,Fish muscle tissue,N,,,,,,,,,,550,982000196963979,,51,1.42,1,,0.9,2019-08-02_DrkCn,B9,"13C, 15N",No,-22.46637454,386.9753571,,11.09577227,120.7413252,,1734907,415436,D
CB_18_12_10_OAKL,CosBeach,2018-12-10,Veg,N,,,,,,,,,,,,,,,,OakLeaves,1.8,2019-08-02_DrkCn,B10,"13C, 15N",No,-30.73304414,656.6240237,,1.437676065,14.25761168,Precision decreases for samples containing less than 20ugN,1734908,415437,D
CB_18_12_10_OAKS,CosBeach,2018-12-10,Veg,N,,,,,,,,,,,,,,,,Log Schmutz Oak Submerged,1.9,2019-08-02_DrkCn,B11,"13C, 15N",No,-25.87975059,212.9217548,,2.317037591,13.02011176,Precision decreases for samples containing less than 20ugN,1734909,415438,D
CB_18_12_10_Tulle,CosBeach,2018-12-10,Veg,N,,,,,,,,,,,,,,,,Tules_Floating,1.3,2019-08-02_DrkCn,B12,"13C, 15N",No,-31.80816757,645.906537,,6.920201594,11.08235799,Precision decreases for samples containing less than 20ugN,1734910,415439,D
CB_18_12_10_GRASS,CosBeach,2018-12-10,Veg,N,,,,,,,,,,,,,,,,Grass,1.9,2019-08-02_DrkCn,C1,"13C, 15N",No,-29.8253203,729.0501533,,3.227741128,22.67639209,,1734911,415445,D
CB_18_12_10_WILLOW,CosBeach,2018-12-10,Veg,N,,,,,,,,,,,,,,,,Willow,1.7,2019-08-02_DrkCn,C2,"13C, 15N",No,-29.93562201,818.2750177,,3.93443931,13.33221441,Precision decreases for samples containing less than 20ugN,1734912,415446,D
KNG_19_01_08_RICESTW,Knaggs,2019-01-08,Veg,N,,,,,,,,,,,,,,,,RiceStraw,1.7,2019-08-02_DrkCn,C3,"13C, 15N",No,-28.16631126,170.5426754,,6.046039215,7.929636621,Contained too little nitrogen,1734913,415447,D
KNG_19_01_08_RVRSTRW,Knaggs,2019-01-08,Veg,N,,,,,,,,,,,,,,,,RiverStraw,1.2,2019-08-02_DrkCn,C4,"13C, 15N",No,-27.50235515,405.7338282,,7.622790814,8.515131282,Contained too little nitrogen,1734914,415448,D
SAC_19_02_11_Veg,XSSAC,2019-02-11,Veg,N,,,,,,,,,,,,,,,,Veg,1.8,2019-08-02_DrkCn,C5,"13C, 15N",No,-25.6603416,515.5840018,,4.310139171,52.27397497,,1734915,415449,D
SAC_19_02_25_Veg,XSSAC,2019-02-25,Veg,N,,,,,,,,,,,,,,,,Veg,1.8,2019-08-02_DrkCn,C6,"13C, 15N",No,-29.64752572,311.7467133,,4.788696202,21.94987995,,1734916,415450,D
BM_19_12_10_BULK128,BabyMarsh,2019-12-10,Zooplankton,N,,,,,,,128,Bulk,"20% Acantho, 20% Psuedo, 30% sphericus, 20% Ceriodaphnia, 10% Other-Chironimid SIA",,,,,,,,1.5,2019-08-02_DrkCn,C7,"13C, 15N",No,-30.16658022,814.9075798,,8.555611902,191.9110602,,1734917,415451,D
SAC_19_12_10_PUL130,XSSAC,2019-12-10,Zooplankton,N,,,,,,,130,Bulk,"35% Pulex, 5% Simo, 25% Chydorus, 10% Acanthos, 5% Rotifer, 10% Ceriodaphnia 10% other SIA ",,,,,,,,0.8,2019-08-02_DrkCn,C8,"13C, 15N",No,-31.37203624,288.3561105,,4.612673369,62.62817824,,1734918,415452,D
SAC_19_12_10_BULK131,XSSAC,2019-12-10,Zooplankton,N,,,,,,,131,Pulex,SIA,,,,,,,,1.4,2019-08-02_DrkCn,C9,"13C, 15N",No,-29.79187043,573.1449113,,6.498397362,134.0678269,,1734919,415453,D
CB_19_12_10_BULK133,CosBeach,2019-12-10,Zooplankton,N,,,,,,,133,Bulk,"90% Bosmina, 5% Ceriodaphnia, 5% Other SIA ",,,,,,,,1.4,2019-08-02_DrkCn,C10,"13C, 15N",No,-28.49681015,673.7831055,,6.973935822,158.5738396,,1734920,415454,D
KNG_20_01_08_BULK136,Knaggs,2020-01-08,Zooplankton,N,,,,,,,136,Bulk,"25% Chironimid, 25% Ostracod, 25% Pulex, 10% Acanthos, 14% Ceriodaphnia  SIA",,,,,,,,1.5,2019-08-02_DrkCn,C11,"13C, 15N",No,-28.62247291,517.4337128,,7.80668593,98.04759228,,1734921,415455,D
KNG_20_01_08_PUL137,Knaggs,2020-01-08,Zooplankton,N,,,,,,,137,Pulex,SIA,,,,,,,,1.3,2019-08-02_DrkCn,C12,"13C, 15N",No,-40.2138557,579.4708547,,7.86763261,119.4861869,,1734922,415456,D
KNG_20_01_08_OSTD139,Knaggs,2020-01-08,Zooplankton,N,,,,,,,139,Ostracods,SIA,,,,,,,,1.8,2019-08-02_DrkCn,D1,"13C, 15N",No,-27.05738923,521.7481294,,8.255515783,94.67880511,,1734923,415463,D
CB_20_01_09_BULK141,CosBeach,2020-01-09,Zooplankton,N,,,,,,,141,Bulk,"20% Pulex, 15% Acanthos, 15% Ceriodaphnia, 45% Chydorus, 5% Other SIA ",,,,,,,,1.4,2019-08-02_DrkCn,D2,"13C, 15N",No,-34.37898866,714.2154975,,4.754570895,153.9830687,,1734924,415464,D
CB_20_02_10_BULK143,CosBeach,2020-02-10,Zooplankton,N,,,,,,,143,Bulk ," 70% Acanthos, 5%Psuedo, 15% Simocephalus, 10% Pulex SIA",,,,,,,,1.7,2019-08-02_DrkCn,D3,"13C, 15N",No,-35.80867408,693.7228254,,10.33753406,143.3984305,,1734925,415465,D
CB_20_02_10_PUL145,CosBeach,2020-02-10,Zooplankton,N,,,,,,,145,Pulex,SIA,,,,,,,,1.1,2019-08-02_DrkCn,D4,"13C, 15N",No,-35.21177637,480.9816838,,9.097075857,106.2111294,,1734926,415466,D
KNG_20_02_10_BULK147,Knaggs,2020-02-10,Zooplankton,N,,,,,,,147,Bulk,"80% Pulex, 10% Ostracod, 5% Acanthos, 5% Sphericus SIA",,,,,,,,1.8,2019-08-02_DrkCn,D5,"13C, 15N",No,-29.11014803,533.4475679,,6.876279059,116.3115479,,1734927,415467,D
KNG_20_02_10_EYPR151,Knaggs,2020-02-10,Zooplankton,N,,,,,,,151,Eucypris,SIA,,,,,,,,1.6,2019-08-02_DrkCn,D6,"13C, 15N",No,-25.02320791,338.6431408,,6.335284618,68.6078517,,1734928,415468,D
SAC_20_02_12_PUL153,XSSAC,2020-02-12,Zooplankton,N,,,,,,,153,Pulex,SIA,,,,,,,,1.2,2019-08-02_DrkCn,D7,"13C, 15N",No,-36.22719075,559.6607605,,3.917698336,123.4244749,,1734929,415469,D
SAC_20_02_12_BULK155,XSSAC,2020-02-12,Zooplankton,N,,,,,,,155,Bulk,"45% Acanthos, 35%Pulex, 15% Ceriodaphnia, 5% Other SIA",,,,,,,,1.8,2019-08-02_DrkCn,D8,"13C, 15N",No,-33.56822287,643.8827938,,4.689734928,148.0027822,,1734930,415470,D
CB_20_02_18_BULK157,CosBeach,2020-02-18,Zooplankton,N,,,,,,,157,Bulk,SIA,,,,,,,,1.7,2019-08-02_DrkCn,D9,"13C, 15N",No,-33.14872967,853.0529403,,11.12123453,182.3644015,,1734931,415471,D
KNG_20_02_20_BULK158,Knaggs,2020-02-20,Zooplankton,N,,,,,,,158,Bulk,"60% Acanthos, 38% Sphericus, 2% Pulex SIA",,,,,,,,1.8,2019-08-02_DrkCn,D10,"13C, 15N",No,-28.60902489,660.0587315,,6.815823229,136.1163835,,1734932,415472,D
KNG_20_02_20_PUL160,Knaggs,2020-02-20,Zooplankton,N,,,,,,,160,Pulex,SIA,,,,,,,,1.6,2019-08-02_DrkCn,D11,"13C, 15N",No,-29.69674459,750.4518211,,6.709587856,159.953368,,1734933,415473,D
KNG_20_02_20_OSTD162,Knaggs,2020-02-20,Zooplankton,N,,,,,,,162,Ostracods,SIA,,,,,,,,1.3,2019-08-02_DrkCn,D12,"13C, 15N",No,-23.81275569,323.3138147,,6.802467349,62.91145461,,1734934,415474,D
KNG_20_02_24_BULK164,Knaggs,2020-02-24,Zooplankton,N,,,,,,,164,Bulk,"50% Acanthos, 40% Pulex, 5% Simocephalus, 5% Other SIA",,,,,,,,1.5,2019-08-02_DrkCn,E1,"13C, 15N",No,-28.97396864,663.2900771,,6.844040911,155.0881543,,1734935,415480,D
KNG_20_02_24_PUL166,Knaggs,2020-02-24,Zooplankton,N,,,,,,,166,Pulex,SIA,,,,,,,,1.2,2019-08-02_DrkCn,E2,"13C, 15N",No,-29.51692026,451.0030666,,6.506330211,103.4102404,,1734936,415481,D
CB_20_02_25_BULK168,CosBeach,2020-02-25,Zooplankton,N,,,,,,,168,Bulk ,"97% Acanthos, 3% Pulex SIA ",,,,,,,,1.8,2019-08-02_DrkCn,E3,"13C, 15N",No,-32.1641404,803.0109488,,9.87005009,193.8924091,,1734937,415482,D
CB_20_02_25_ACTHO170,CosBeach,2020-02-25,Zooplankton,N,,,,,,,170,Acanthos ,SIA,,,,,,,,1.6,2019-08-02_DrkCn,E4,"13C, 15N",No,-31.43852715,681.0395857,,9.781630088,184.8990213,,1734938,415483,D
CB_20_02_25_PUL172,CosBeach,2020-02-25,Zooplankton,N,,,,,,,172,Pulex,SIA,,,,,,,,1.1,2019-08-02_DrkCn,E5,"13C, 15N",No,-33.02041332,597.4021777,,8.712122504,138.8228617,,1734939,415484,D
KNG_20_03_02_PUL173,Knaggs,2020-03-02,Zooplankton,N,,,,,,,173,Pulex ,SIA,,,,,,,,19,2019-08-02_DrkCn,E6,"13C, 15N",No,-28.58416421,727.6480482,,6.554957336,179.9308188,,1734940,415485,D
KNG_20_03_02_BULK175,Knaggs,2020-03-02,Zooplankton,N,,,,,,,175,Bulk,"70% Pulex, 10% Ceriodaphnia, 10% Acanthos, 10% Sphericus SIA",,,,,,,,1.6,2019-08-02_DrkCn,E7,"13C, 15N",No,-28.0788038,540.8283126,,7.708882203,129.4108582,,1734941,415486,D
BM_20_03_03_BULK177,BabyMarsh,2020-03-03,Zooplankton,N,,,,,,,177,Bulk ,"90% Chydorus, 5% Pulex, 3% Acanthos, 2% other (Chironimid/Pseudo etc) SIA ",,,,,,,,1.7,2019-08-02_DrkCn,E8,"13C, 15N",No,-30.85081295,515.5840018,,10.1563274,120.4973044,,1734942,415487,D
CB_20_03_03_BULK179,CosBeach,2020-03-03,Zooplankton,N,,,,,,,179,Bulk ,"50% Acanthos, 45% Sphericus, 5% Pulex + Ceriodaphnia SIA ",,,,,,,,1.8,2019-08-02_DrkCn,E9,"13C, 15N",No,-34.30176146,867.0388051,,10.15109035,208.1725997,,1734943,415488,D
BM_20_03_09_BULK181,BabyMarsh,2020-03-09,Zooplankton,N,,,,,,,181,Bulk ,"45% Psuedo,  40% Sphericus, 2% Cypridopsis, 1% Ceriodaphnia, 2% Other SIA ",,,,,,,,1.2,2019-08-02_DrkCn,E10,"13C, 15N",No,-31.48121349,455.3513107,,10.56196737,106.9809994,,1734944,415489,D
WEN_19_04_10_BULK93,Wendells,2019-04-10,Zooplankton,N,,,,,,,93,Bulk,"40% Chydorus, 40% Eurycercus, 10% Pulex, 10% Other; SIA",,,,,,,,1.9,2019-08-02_DrkCn,E11,"13C, 15N",No,-30.05160157,961.1239898,,8.373346804,218.3950021,,1734945,415490,D
WEN_19_04_10_ERYC94,Wendells,2019-04-10,Zooplankton,N,,,,,,,94,Eurycercus,SIA,,,,,,,,1.5,2019-08-02_DrkCn,E12,"13C, 15N",No,-27.90142403,647.727478,,6.50482639,151.2879909,,1734946,415491,D
CB_19_04_11_BULK96,CosBeach,2019-04-11,Zooplankton,N,,,,,,,96,Bulk,"60% Acantho, 30% Chydorus, 5% Pulex, 5% Simo; SIA",,,,,,,,1.4,2019-08-02_DrkCn,F1,"13C, 15N",No,-31.1682919,627.4720375,,7.649954949,142.8441258,,1734947,415498,D
MU_19_04_11_BULK98,MokUSRR,2019-04-11,Zooplankton,N,,,,,,,98,Bulk,"80% Acantho, 10% Pseudo, 5% Pulex, 5% Other Cladoceran; SIA",,,,,,,,1,2019-08-02_DrkCn,F2,"13C, 15N",No,-27.37919733,397.6101325,,6.17493392,79.34019594,,1734948,415499,D
WEN_19_04_23_BULK99,Wendells,2019-04-23,Zooplankton,N,,,,,,,99,Bulk,"95% Chydorus, 3% Acantho, 2% Other (some eurycercus and pulex); SIA",,,,,,,,1.7,2019-08-02_DrkCn,F3,"13C, 15N",No,-29.40435613,910.9979379,,8.491390463,212.4893934,,1734949,415500,D
CB_19_04_25_BULK105,CosBeach,2019-04-25,Zooplankton,N,,,,,,,105,Bulk,"50% Chydorus, 30% Eurycercus, 5% Simo, 25% Acantho; SIA",,,,,,,,1.5,2019-08-02_DrkCn,F4,"13C, 15N",No,-30.39009916,911.5849729,,7.968476097,213.1347501,,1734950,415501,D
CB_19_04_25_ERYC106,CosBeach,2019-04-25,Zooplankton,N,,,,,,,106,Eurycercus,SIA,,,,,,,,1.3,2019-08-02_DrkCn,F5,"13C, 15N",No,-32.83092954,600.047839,,7.499533828,151.2879909,,1734951,415502,D
BM_19_04_26_BULK108,BabyMarsh,2019-04-26,Zooplankton,N,,,,,,,108,Bulk,"98% Acantho, 1% Pulex, 1% Other; SIA",,,,,,,,1.6,2019-08-02_DrkCn,F6,"13C, 15N",No,-31.94396456,703.7747563,,9.71037739,182.3644015,,1734952,415503,D
BM_19_05_07_BULK109,BabyMarsh,2019-05-07,Zooplankton,N,,,,,,,109,Bulk,"95% Chydorus, 5% Acantho; SIA",,,,,,,,1.7,2019-08-02_DrkCn,F7,"13C, 15N",No,-28.64796274,774.5847013,,9.80806893,192.0819104,,1734953,415504,D
CB_19_05_08_BULK110,CosBeach,2019-05-08,Zooplankton,N,,,,,,,110,Bulk,"97% Bosmina, 3% Acantho; SIA",,,,,,,,1.1,2019-08-02_DrkCn,F8,"13C, 15N",No,-34.01169123,587.8300411,,7.14879737,140.9033865,,1734954,415505,D
TRI_19_05_08_BULK113,CosTri,2019-05-08,Zooplankton,N,,,,,,,113,Bulk,"60% Simo, 30% Acantho, 10% Other; SIA",,,,,,,,1.1,2019-08-02_DrkCn,F9,"13C, 15N",No,-26.90119978,489.6455002,,8.311613461,99.76589194,,1734955,415506,D
CB_19_05_22_BULK116,CosBeach,2019-05-22,Zooplankton,N,,,,,,,116,Bulk,"20% Acantho, 30% Ceriodaphnia, 17% Cypridopsis, 5% Eurycercus, 5% Chydoridae, 17% Bosmina, 6% Chydorus; SIA",,,,,,,,1.7,2019-08-02_DrkCn,F10,"13C, 15N",No,-33.67291545,832.323395,,7.437884316,180.3422467,,1734956,415507,D
BM_19_05_23_BULK118,BabyMarsh,2019-05-23,Zooplankton,N,,,,,,,118,Bulk,"95% Acantho, 5% Other; SIA",,,,,,,,1.6,2019-08-02_DrkCn,F11,"13C, 15N",No,-32.38670484,698.1472158,,9.985757234,148.7984248,,1734957,415508,D
BM_19_05_23_HYELA119,BabyMarsh,2019-05-23,Zooplankton,N,,,,,,,119,Hyella ,SIA,,,,,,,,1.8,2019-08-02_DrkCn,F12,"13C, 15N",No,-30.36277284,725.2438691,,8.602179697,144.7838186,,1734958,415509,D
SAC_19_06_19_BULK123,XSSAC,2019-06-18,Zooplankton,N,,,,,,,123,Bulk,"80% Acanthos, 15% Ceriodaphnia, 5% Other SIA",,,,,,,,1.7,2019-08-02_DrkCn,G1,"13C, 15N",No,-33.68837398,748.5221343,,9.594900453,173.4531066,,1734959,415660,D
BM_19_06_20_BULK124,BabyMarsh,2019-06-20,Zooplankton,N,,,,,,,124,Bulk,99% Psuedo 1% Other SIA ,,,,,,,,1.9,2019-08-02_DrkCn,G2,"13C, 15N",No,-30.91140902,1094.309025,,10.73829581,288.2636602,,1734960,415661,D
SAC_19_11_19_BULK126,XSSAC,2019-11-19,Zooplankton,N,,,,,,,126,Bulk,,,,,,,,,1.9,2019-08-02_DrkCn,G3,"13C, 15N",No,-30.77427683,686.9376234,,6.770821817,156.9799001,,1734961,415662,D
CB_20_03_09_BULK183,CosBeach,2020-03-09,Zooplankton,N,,,,,,,183,Bulk ,"1 % Psuedo, 20% Bosmina, 50% Acanthos, 15% Pulex, 14% Ceriodaphnia SIA ",,,,,,,,2,2019-08-02_DrkCn,G4,"13C, 15N",No,-36.58545786,1030.617754,,9.017477068,189.4986804,,1734962,415663,D
KNG_20_03_10_BULK188,Knaggs,2020-03-10,Zooplankton,N,,,,,,,188,Bulk ,"60% Pulex, 15% Ostracod, 15% Chydorus, 10% Ceriodaphnia SIA ",,,,,,,,1.8,2019-08-02_DrkCn,G5,"13C, 15N",No,-29.26272638,761.3963988,,7.306130167,182.1783408,,1734963,415664,D
KNG_20_03_10_PUL190,Knaggs,2020-03-10,Zooplankton,N,,,,,,,190,Pulex,SIA,,,,,,,,1.9,2019-08-02_DrkCn,G6,"13C, 15N",No,-30.04558333,809.1412201,,6.586178004,178.3495497,,1734964,415665,D
KNG_20_03_10_OSTD192,Knaggs,2020-03-10,Zooplankton,N,,,,,,,192,Ostracods,SIA,,,,,,,,1.2,2019-08-02_DrkCn,G7,"13C, 15N",No,-22.09640833,311.3919822,,7.053226616,60.34056982,,1734965,415666,D
KNG_20_03_17_PUL200,Knaggs,2020-03-17,Zooplankton,N,,,,,,,200,Pulex,SIA,,,,,,,,1.9,2019-08-02_DrkCn,G8,"13C, 15N",No,-30.20945609,766.6924358,,7.096756073,164.6198091,,1734966,415667,D
KNG_20_03_17_BULK202,Knaggs,2020-03-17,Zooplankton,N,,,,,,,202,Bulk,"95% Pulex, 2.5% Acanthos, 2.5% Pusedo SIA ",,,,,,,,1.7,2019-08-02_DrkCn,G9,"13C, 15N",No,-29.82167935,754.7721437,,7.231074095,168.4541343,,1734967,415668,D
CB_20_03_22_BULK206,CosBeach,2020-03-22,Zooplankton,N,,,,,,,206,Bulk,"50% Pulex, 40% Acanthos, 10% Pseduo SIA ",,,,,,,,1.7,2019-08-02_DrkCn,G10,"13C, 15N",No,-32.30230128,743.2158358,,7.176620667,163.8194073,,1734968,415669,D
BM_20_03_22_BULK208,BabyMarsh,2020-03-22,Zooplankton,N,,,,,,,208,Bulk ,"45% Acanthos, 25% Psuedo, 30% Sphericus SIA ",,,,,,,,1.8,2019-08-02_DrkCn,G11,"13C, 15N",No,-32.72286833,920.2774281,,10.82931785,235.5861223,,1734969,415670,D
KNG_20_03_23_PUL210,Knaggs,2020-03-23,Zooplankton,N,,,,,,,210,Pulex ,SIA,,,,,,,,1.5,2019-08-02_DrkCn,G12,"13C, 15N",No,-30.68977814,783.5063918,,7.327800607,162.4185422,,1734970,415671,D
KNG_20_03_23_BULK212,Knaggs,2020-03-23,Zooplankton,N,,,,,,,212,Bulk ,"50% Acanthos, 45% Pulex, 5% Simo SIA ",,,,,,,,1.9,2019-08-02_DrkCn,H1,"13C, 15N",No,-30.52387198,845.8277103,,8.657845596,185.4602772,,1734971,415749,D
CB_20_03_16_BULK198,CosBeach,2020-03-16,Zooplankton,N,,,,,,,198,Bulk,"50% Acanthos, 25% Chydorus, 12.5% Bosmina, 12.5% Pulex SIA ",,,,,,,,1.4,2019-08-02_DrkCn,H2,"13C, 15N",No,-33.57062613,720.4848154,,8.77744949,166.6956659,,1734972,415750,D
BM_20_03_16_BULK196,BabyMarsh,2020-03-16,Zooplankton,N,,,,,,,196,Bulk,"75% Chydorus, 15% Psuedo, 10% Acanthos SIA ",,,,,,,,1.7,2019-08-02_DrkCn,H3,"13C, 15N",No,-30.82832234,687.0787754,,10.33794188,165.3195344,,1734973,415751,D
BM1_20_03_22_F1063,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1063,,1,73,4.51,1,,1.9,2019-08-02_DrkCn,H4,"13C, 15N",No,-27.28207882,916.0841893,,13.13632164,275.2689361,,1734974,415752,D
BM2_20_03_22_F1064,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1064,,2,81,5.03,1,,1.4,2019-08-02_DrkCn,H5,"13C, 15N",No,-27.22669768,785.0006836,,12.80026672,232.4118069,,1734975,415753,D
BM3_20_03_22_F1065,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1065,,3,75,4.32,1,,1.7,2019-08-02_DrkCn,H6,"13C, 15N",No,-26.44043758,800.4861605,,12.867199,245.8964175,,1734976,415754,D
BM4_20_03_22_F1066,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1066,,4,71,4.03,1,,1.6,2019-08-02_DrkCn,H7,"13C, 15N",No,-26.7322292,691.0496775,,12.9842385,213.2958744,,1734977,415755,D
BM5_20_03_22_F1067,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1067,,5,69,3.53,1,,1.8,2019-08-02_DrkCn,H8,"13C, 15N",No,-26.73525355,852.3093441,,13.34511059,263.1486464,,1734978,415756,D
BM6_20_03_22_F1068,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1068,,6,72,3.94,1,,1.4,2019-08-02_DrkCn,H9,"13C, 15N",No,-26.49184925,617.5484971,,12.89663395,193.4454094,,1734979,415757,D
BM7_20_03_22_F1069,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1069,,7,81,5.82,1,,1.8,2019-08-02_DrkCn,H10,"13C, 15N",No,-27.29714374,866.1797388,,12.77020952,259.2101276,,1734980,415758,D
BM8_20_03_22_F1070,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1070,,8,72,4.13,1,,1.7,2019-08-02_DrkCn,H11,"13C, 15N",No,-25.78350216,758.9967775,,13.39944223,227.7508616,,1734981,415759,D
BM9_20_03_22_F1071,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1071,,9,70,3.83,1,,1.9,2019-08-02_DrkCn,H12,"13C, 15N",No,-26.91534689,974.7625819,,13.16827389,290.9681017,,1734982,415760,D
BM10_20_03_22_F1072,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1072,,10,69,3.34,1,,1.8,2020-10-05_DKCBN,A1,"13C, 15N",No,-26.45267842,888.7807388,,13.21251856,272.1297324,,1751252,566922,H
BM11_20_03_22_F1073,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1073,,11,72,3.83,2,,1.6,2020-10-05_DKCBN,A2,"13C, 15N",No,-26.49005331,793.4208564,,13.45917992,240.6643694,,1751253,566923,H
BM12_20_03_22_F1074,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1074,,12,73,4.28,2,,1.8,2020-10-05_DKCBN,A3,"13C, 15N",No,-26.88754331,885.3641604,,13.23841675,270.4551654,,1751254,566924,H
BM13_20_03_22_F1075,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1075,,13,75,4.71,2,,1.8,2020-10-05_DKCBN,A4,"13C, 15N",No,-26.76527578,931.4303811,,13.09880248,271.2589828,,1751255,566925,H
BM14_20_03_22_F1076,BabyMarsh,2020-03-22,Fish muscle tissue,N,,,,,,,,,,1076,,14,75,4.44,2,,1.6,2020-10-05_DKCBN,A5,"13C, 15N",No,-26.55510956,782.8660537,,13.28607063,228.3014718,,1751256,566926,H
